,2022,,,,2021,,,,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV
K. Jasa Keuangan dan Asuransi,195883.2,203633.8,202790.3,-,181863.5,184426.3,184415.5,185483.5,184403.1,163902.8,168371,179390.3,164202.5,162501.7,170213.3,174516.3,149195.6,151306.3,157497.6,158315.6,138290.1,141673.1,147135.2,144105.2,124958,128136.8,133302.4,133809.6,110846.4,110050.9,119327.9,124174.7,97789.7,102032.6,102878.9,105737.6,88342.1,90822.3,96920.3,94047.2,74703.4,78764.3,83096.9,83969.7,66293.3,68898.5,68211.5,67183,57754.9,60021.1,60445.9,61506.5
L. Real Estate,120446.8,121350.4,122604.9,-,114310.1,116310,118298.8,119302.8,112980.1,112854.2,113933.6,114013,107547.4,108952.7,110857.8,112098,99254.7,100593.8,102188.8,103976.4,92775.8,95482,96539.2,97462.2,86267,87174.7,88194.5,88852,79797.1,81269.5,82682.3,83852.5,70413.3,72080.6,74461.1,77618.4,63542,64991,67109.6,68632.4,57079,58411.3,60529.2,61894.4,53483.9,54139.2,55161,56012.5,46097.1,48159.6,51069.4,52887.4
"M,N. Jasa Perusahaan",81021.3,84532.8,85896.6,-,74750,75452.2,73690.2,77192.8,78465.5,67629.4,72977.6,75183,72078.1,75061.4,77759,79387,63451.9,66003.5,68036.7,69601.9,56866.9,58705.1,60727.7,61917.3,51359.9,52007.2,53493.9,54762.6,45468.8,46680.7,48496.4,49622,39720.5,40478.4,42058.7,43733,34690.8,35548.7,36945.4,37419.2,30577.3,31350.6,32596.8,33199.5,27219.4,27826.9,29028.9,29900.1,22663.4,23946.8,25685.7,26789.5
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",138888.4,154613.7,146543.4,-,138880.1,158079.1,127603.9,159797.9,141710.3,140680.5,144360.5,155877,133801.5,147211.3,139235.9,151335.4,123781.5,133545.8,134567.9,149790.4,113448.9,121547.3,125627.2,138720.2,111394.6,120262.3,120220.3,124613.7,99645.7,108687.2,118102.9,122946.6,90072.6,93998.7,111464.4,109093.9,81215.7,91689.7,101163.8,98125.8,75409.6,95966.5,84362.7,84828.8,66610.4,71084.4,86859,80201.9,57125.8,67870.4,66385.7,68264.2
P. Jasa Pendidikan,128659.1,139741.7,141589.2,-,128860.3,141080.8,132782.2,153594.5,129881.1,130442.8,139259.6,150042.4,118531.6,127571.5,133258.3,142992.8,109540.8,117452.8,120453.9,134299.5,100943.7,108617.9,111716.6,125859.4,94402.8,105388,103632.4,113921.6,84344.3,94390.8,100734.6,108141.7,76496.7,79003.4,89307.9,97010.4,68593.8,72067.8,79414.4,87786.3,58982.4,70865.8,66978.8,73545.3,49989,54164.8,64142.3,64430.7,42816.8,50312.9,53634.4,54795.4
Q. Jasa Kesehatan dan Kegiatan Sosial,52400.2,56268.8,60786.4,-,49610,52249.6,60879.9,64231.3,46707,45406.5,52901.2,56176.8,41428.3,43038.1,44115.9,46106.7,37478.9,38779.8,39612.4,42199,34423.8,35414.6,36442.6,38549.7,31541.3,32643.7,32849,35066.5,28367.6,30116.4,31283.3,33424.2,24754.1,26080.2,28346.8,29966.1,22045.2,22988.9,24701.4,27145.8,19886,21608.9,21579.5,23161,17523.6,18357.9,20136.6,20386.8,15194.2,16473.5,17325.9,17451.1
"R,S,T,U. Jasa lainnya",84720.9,87198.9,87237.3,-,76929.8,77399.8,76495.7,81354.2,80518,68745.1,75701.5,77613.8,72363.1,76175.6,79394.5,81068.8,63836.8,66305.5,68471.8,69960.6,57120.5,58926.4,60984.2,62227.5,50925.4,51968.8,53564.2,54969.5,45475.9,46788.9,48546.3,49769.9,38740,39664.5,41169.5,43974.8,33159.5,33992.1,35828.8,37335.1,29784.7,30274,30992.5,31515,27405,27900.7,28506.2,29210.1,23932.2,24791.6,25723,26614.2
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4336929,4688492,4862844,-,3831986,4028035.8,4153473.4,4271195.6,3794359.3,3558473.4,3758900.8,3762794.9,3659832,3800064.9,3888219.5,3833045.4,3402093.2,3537456.3,3676329.6,3620879.3,3132620.4,3240924.9,3357619,3335431.5,2845744.2,2976078.6,3073195.7,3063837,2655121.2,2783544,2884639.8,2839900.7,2446020,2555491.6,2672196.4,2632524.4,2185183.2,2284679.6,2424276.4,2414192.4,2023848.1,2117140.2,2170765.1,2117946.1,1794934.5,1891604.4,2014768.1,1974592.3,1561035.3,1660382.7,1738238.5,1724023.3
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,176725.6,231897.6,228327.2,-,139173.2,148386.7,171688.9,226849.6,128195.8,130119.2,136639.2,168534.9,122786.3,164009.8,179138.5,185560.8,108269.9,149380.1,166013.4,178334.2,95551.8,125862.4,146519.5,155296.2,83524.8,97458.1,131823.3,130066.8,73059.5,84404.4,106005.2,99658,60280.2,63455.7,74566,65171,50105.3,57909.9,66882.1,62905.1,37490.2,44896.7,52876.5,50741.6,39420.6,36628.6,38977.3,40800.2,42736.6,44127.2,47958.1,45631.4
C. PRODUK DOMESTIK BRUTO,4513655,4920389,5091171,-,3971159.2,4176422.5,4325162.3,4498045.2,3922555.1,3688592.6,3895540,3931329.8,3782618.3,3964074.7,4067358,4018606.2,3510363.1,3686836.4,3842343,3799213.5,3228172.2,3366787.3,3504138.5,3490727.7,2929269,3073536.7,3205019,3193903.8,2728180.7,2867948.4,2990645,2939558.7,2506300.2,2618947.3,2746762.4,2697695.4,2235288.5,2342589.5,2491158.5,2477097.5,2061338.3,2162036.9,2223641.6,2168687.7,1834355.1,1928233,2053745.4,2015392.5,1603771.9,1704509.9,1786196.6,1769654.7
