,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,,2007,,,,2006,,,,2005,,,,2004,,,,2003,,,,2002,,,,2001,,,,2000,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV
c. Restoran,57006.3,58004.2,59426.3,60921.3,50163,50913.6,53145.5,50913.6,44698.1,45612.6,47509.1,48948.5,41325,41986.3,42904.2,43492.3,37466.7,38188.9,39279.4,40109.8,33599.5,34043.8,34548.7,35428.2,28735.4,29551.5,30951.6,32005,25237.4,26193,26831.4,27987.6,21402.6,22710.7,23569.8,24737.7,18506.3,19251.6,20007.9,21040.3,15783,17002.7,17387.7,18143.6,15844.8,15687.7,15837.1,15823.5,12702.5,14433.6,15459.1,16031.4,7521.2,7670.5,8395.4,10167.2,7384.4,7541.6,7688.3,7889.3
a. Pengangkutan,95823.2,102416.3,109447.8,117491.7,75436,79659.8,93164.8,79659.8,67065.1,68742.3,75101.3,76437.4,60197.1,61895.7,65440.4,66991,48431.3,51770.1,56734.5,60382.2,43777.9,44102.5,46850,48177.8,38882.5,40539.6,45324.5,46500.2,34859.5,36336.2,38774.6,40003.2,33975.2,35201.7,36488.7,37104.4,23826.6,25662,26863.5,33805.2,20883.4,21474.7,22597.5,23354.7,18558.4,19477.5,19987.9,21511.7,14510.5,15802.3,17556.1,18248.6,13067.9,13400.6,14693.5,15305.3,10341,10867.6,11980,13563.2
b. Komunikasi,77600.9,79088.6,80802.6,82977.1,69822.6,71682.7,73729.6,71682.7,62918.9,63854.7,66592.8,68392.9,56910.6,57629.4,60050.2,62172.6,47011.7,49701.3,53111.1,56030,40102.9,41963.5,43968.2,44796.9,33283.5,33239,35875.9,38545,26279.6,27692.4,29085.7,31232.1,20080.7,21095.4,22709.2,24868.2,15906.2,17151.1,18233.6,19136.7,11370,13067.8,14347.9,15196,8965.3,9456.3,10117.4,10841.9,6489.7,8065.3,8471.1,8826.5,4945,5047.1,5240.7,5487.5,4401.3,4502.9,4611,4745.1
a. Bank,60831,61976.2,63511.1,65898,52710.7,54357.4,58654.8,54357.4,45528.8,47193.7,48873.3,49499.2,40403.5,40854.1,42342.1,42890.1,35674.8,36362.6,37137.8,37739.3,32889.5,32753.6,33085.3,33457.6,29566.4,31269.5,31834.7,32844.8,25543.1,26104.7,26867.4,27021.6,22853.6,23728.9,24412.2,24713.7,20942,21744.5,22737.5,22863.4,18901,19023.1,19973.9,20635.7,18691.9,18586,18794.2,18426.8,16948.4,16721.1,17268.9,17368.3,15649.8,16235.9,16714,15808.7,12712,13317.7,14703.4,14329.9
b. Lembaga Keuangan Bukan Bank,25004.4,25704.6,26309.3,26976.4,21513.1,21890.6,23332.8,21890.6,19313.8,19352.4,20378,20762.9,16800.2,17229.4,17957,18589.8,13684.4,14448.4,15123.9,15944.7,11680.2,12058.7,12544.3,12937.1,9544.5,10016.7,10947.2,11244.8,7437.4,7856.5,8300.3,8987.3,6297.8,6609.5,6896.2,6975.4,4763.2,4953.4,5082.1,6010,3930.2,4105.6,4288.2,4323.1,3450.9,3488.6,3569.6,3690.2,3017.8,3127.5,3176,3282.5,2445.1,2576.4,2608.1,2712.5,1987.7,2054.8,2140.5,2211.7
c. Jasa Penunjang Keuangan,1371.2,1403,1433,1455.3,1230.9,1244.7,1299.4,1244.7,1102.1,1129.2,1168.2,1182.7,959.9,1013.8,1039.7,1062.4,796,860.7,891.1,933.3,704.5,757.2,763.6,776,694.3,726.4,687.9,698.5,553.9,619,644.2,673,469.7,502.9,507.1,531.4,361.7,381.2,396.9,441.5,307.5,314.4,329.7,334.5,261.7,267.7,279.5,288.3,242.1,252.5,256.7,255,226.4,233.2,227.2,232.4,203.1,214.2,219.7,219
d. Real Estate,61879.8,63240.8,65435.8,68312.1,55951.1,57112.4,58867.7,57112.4,50429.7,51285.2,53256.7,54550.2,46138.7,47293.2,48686.4,49810.2,38901.3,40633.5,43271.5,45414.3,35101.6,35763,36815.7,37580.4,30592.7,32409.8,34115.9,34905.2,26501.8,26744.8,27437.6,29555.7,23319.1,23852.6,24560.8,25664.4,18189.8,19552,21149.5,22583,15497.7,16231.4,16864.6,17513.1,13878.3,13982.5,14158,14556.9,11593.3,11696,12072.8,12510.9,8834.5,9309.8,9829.4,10254,7874.5,7877,7907.8,8212.6
e. Jasa Perusahaan,36019.4,36743.9,38150.8,40305.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a. Pemerintahan Umum,121917.4,128415.6,163319,166329.2,114561.4,128657.6,148126.7,128657.6,105925.3,128936.1,118476.9,132976.9,92029.8,101741,118927.3,120672.8,71297.4,93104.5,91510.5,103928.5,67849.7,89200.8,79968.6,81561.7,56126.1,71221.4,64921.6,65278.6,47738,52244.3,51240.6,54121,37098.1,39772.3,45768.4,45160.9,31438.5,32533.2,35173.4,35987.7,28286.4,31185.6,29827.3,31830.1,22040.9,23908.3,26972.7,28683.7,20125,20116.5,21392.3,21659.7,16799.1,20092.4,22404.3,22555,15254.1,19547.7,17666.3,16992.1
b. Swasta,125645.2,128676.4,134974.5,139333,109615.6,111292.9,117862.8,111292.9,96334.5,97945.9,103643.5,105559.7,83024.3,85110.2,90002.5,93506.2,69974.7,72552.9,77649.9,80347.1,61263.6,62137,65276.7,66858.4,52698.5,54452.5,57470.3,59679.3,45946.2,46284.5,48981.1,51641,39578.2,40638.9,43182.2,45059.9,32964.6,33788.6,35723.2,38595,25870.8,26841,31154.7,31874.4,22958.2,23592.6,25071.8,25597.7,19569.6,20140.5,21068.1,21531.2,16525.9,17216.4,18122.8,18542.1,14657.8,14714.8,15250,15671
PDB,2387055.8,2478081.7,2622612.6,2607178.8,2143260.1,2212148.1,2359100.3,2212148.1,1972890.8,2047705.9,2116302.1,2094027.1,1749386.9,1822473.3,1929006.2,1918320.7,1505857,1588847.7,1670567.1,1681580.1,1315272,1381407.4,1458209.4,1451314.6,1110032.3,1220605.9,1327509.6,1290540.6,920203.1,963862.5,1031408.7,1035418.9,782752.9,812741.1,870319.8,873403,632330.5,670475.6,713000.1,758474.9,536605.3,564422.1,595320.6,599478.2,496247.8,498023.8,516103.7,503299.3,436975.1,450640.4,472136.1,462081.8,386648.8,416069.9,426828.3,416775,325958.6,336967.1,360701.6,366142.6
PDB Tanpa Migas,2203055.5,2297457.7,2443579.1,2447445,1980030.7,2054672.8,2193861.3,2054672.8,1808685.9,1885032,1958701.5,1937389.6,1602311.8,1661863.5,1765748.4,1765961.9,1381917.2,1458471.7,1546642.6,1554920.4,1211646.8,1272559,1334345.6,1322863,992268.2,1086500.4,1189745.2,1159119.7,826396.3,865601.2,921089.5,921319.5,693086.8,720889.8,775708.9,777354.8,569485.3,596522.9,628713.4,663512.7,490625.7,514874,537892.2,539686,447956,456727.2,475138.9,461032.8,399139.3,411463.1,430994.4,417484.6,341696.3,366288.6,383004,376653.4,289865.3,298189.4,314523.7,315755.7
